id,name,country_id
ethnicity_0001,Kinh,vn
ethnicity_0002,Tày,vn
ethnicity_0003,Thái,vn
ethnicity_0004,Hoa,vn
ethnicity_0005,Mường,vn
ethnicity_0006,Khmer,vn
ethnicity_0007,H'Mông,vn
ethnicity_0008,Nùng,vn
ethnicity_0009,Dao,vn
ethnicity_0010,Sán Chay,vn
ethnicity_0011,Co,vn
ethnicity_0012,Giẻ Triêng,vn
ethnicity_0013,Ba Na,vn
ethnicity_0014,Xơ Đăng,vn
ethnicity_0015,Ra Glai,vn
ethnicity_0016,Bru - Van Kieu,vn
ethnicity_0017,Thổ,vn
ethnicity_0018,Chứt,vn
ethnicity_0019,Mạ,vn
ethnicity_0020,La Ha,vn
ethnicity_0021,Lô Lô,vn
ethnicity_0022,Pà Thẻn,vn
ethnicity_0023,La Hủ,vn
ethnicity_0024,Khơ Mú,vn
ethnicity_0025,Tà Ôi,vn
ethnicity_0026,M'nông,vn
ethnicity_0027,Xinh Mun,vn
ethnicity_0028,Hà Nhì,vn
ethnicity_0029,Ngái,vn
ethnicity_0030,Chăm,vn
ethnicity_0031,Brau,vn
ethnicity_0032,Sán Dìu,vn
ethnicity_0033,Chơ Ro,vn
ethnicity_0034,Paco,vn
ethnicity_0035,Ơ Đu,vn
ethnicity_0036,Rơ Măm,vn
ethnicity_0037,Lào,vn
ethnicity_0038,Gia-rai,vn
ethnicity_0039,Ê-đê,vn
ethnicity_0040,Cơ-ho,vn
ethnicity_0041,Hrê,vn
ethnicity_0042,Xtiêng,vn
ethnicity_0043,Gíay,vn
ethnicity_0044,Cơ-tu,vn
ethnicity_0045,Kháng,vn
ethnicity_0046,Chu ru,vn
ethnicity_0047,La Chí,vn
ethnicity_0048,Phù Lá,vn
ethnicity_0049,Lự,vn
ethnicity_0050,Mảng,vn
ethnicity_0051,Cống,vn
ethnicity_0052,Bố Y,vn
ethnicity_0053,Si La,vn
ethnicity_0054,Pu Péo,vn
